item,action,status,turn,note
L01,pull-up-account,followed,5,
L01,verify-identity,followed,9,
L01,ask-the-oracle,followed,10,
L01,shipping-status,followed,14,
L01,offer-refund,followed,20,
L02,pull-up-account,followed,17,
L02,record-reason,followed,22,
L02,verify-identity,followed,25,
L02,promo-code,followed,40,repeated at 42
L03,search-faq,missed,,
L03,search-policy,followed,4,
L03,select-faq,followed,5,
L04,search-faq,followed,6, customer and agent convo is out of order and part of the conversation is moved around
L04,search-jeans,followed,7,
L04,select-faq,followed,11,
L05,pull-up-account,followed,5,
L05,enter-details,followed,8,
L05,make-password,missed,,the agent talked about the steps with the customers but did not do the action 
L06,pull-up-account,followed,6,
L06,enter-details,out-of-order,18,entered after make-password
L06,make-password,out-of-order,9,created before details entered
L07,pull-up-account,followed,6,
L07,verify-identity,followed,10,
L07,shipping-status,followed,13,
L07,membership,followed,15,
L07,make-purchase,followed,19,
L08,search-faq,followed,3,
L08,search-jacket,followed,4,
L08,select-faq,followed,5,
L09,pull-up-account,out-of-order,10,
L09,enter-details,out-of-order,9,
L09,make-password,followed,14,
L10,search-faq,followed,4,
L10,search-policy,followed,6,
L10,select-faq,followed,7,
L11,search-faq,followed,4,
L11,search-jeans,followed,5,
L11,select-faq,followed,6,
L12,search-faq,followed,8,
L12,search-timing,out-of-order,12,
L12,select-faq,out-of-order,18,
L13,pull-up-account,followed,6,identify verified to get information for username to complete next action
L13,enter-details,followed,15,
L13,make-password,followed, 18,
L14,pull-up-account,followed,8,
L14,enter-details,missed,,
L14,send-link,followed,13,
L15,search-faq,followed,4,
L15,search-boots,followed,5,
L15,select-faq,followed,9,
L16,pull-up-account,followed,9,
L16,validate-purchase,followed,14,
L16,record-reason,missed,,
L16,enter-details,followed,19,
L16,offer-refund,followed,22,
L17,search-faq,out-of-order,5,
L17,search-membership,out-of-order,4,
L17,select-faq,followed,6,Action completed again at 8 to select a different answer
L18,pull-up-account,followed,6,
L18,verify-identity,followed,10,
L19,pull-up-account,followed,4,
L19,validate-purchase,followed,8,
L19,membership,followed,11,
L19,enter-details,followed,16,
L19,update-order,followed,19,
L20,search-faq,missed,,
L20,search-shirt,followed,9,
L20,select-faq,followed,15,
